iter	RMSE
0	1634.537615
1	1591.030973
2	1547.772507
3	1507.271712
4	1470.900181
5	1435.855689
6	1403.337633
7	1373.124105
8	1347.884438
9	1323.003094
10	1303.133232
11	1282.019964
12	1261.993341
13	1243.383071
14	1227.482198
15	1212.560451
16	1199.100101
17	1186.447781
18	1176.118374
19	1166.816228
20	1156.8638
21	1148.270168
22	1140.652076
23	1133.007265
24	1126.350873
25	1120.165039
26	1114.253535
27	1109.365226
28	1104.496796
29	1099.986701
30	1095.894518
31	1092.538556
32	1089.536437
33	1086.804286
34	1083.805513
35	1080.980437
36	1078.950174
37	1076.588957
38	1074.33686
39	1072.225668
40	1070.15934
41	1068.478959
42	1067.072396
43	1065.556036
44	1064.631586
45	1063.293067
46	1062.371145
47	1061.078316
48	1060.032524
49	1059.201276
50	1058.516954
51	1057.724994
52	1056.941648
53	1056.025434
54	1055.421876
55	1054.754552
56	1054.157075
57	1053.574736
58	1052.638402
59	1051.997388
60	1051.495219
61	1050.861681
62	1050.131896
63	1049.342723
64	1048.703765
65	1047.880537
66	1047.527478
67	1047.230465
68	1046.193288
69	1045.943962
70	1045.462779
71	1045.006975
72	1044.43462
73	1043.586492
74	1043.137538
75	1042.362695
76	1042.045275
77	1041.60103
78	1040.775881
79	1040.380708
80	1039.715406
81	1039.26102
82	1038.41844
83	1038.004421
84	1037.657955
85	1037.12286
86	1036.700341
87	1036.431958
88	1035.970876
89	1035.692212
90	1034.709502
91	1034.343317
92	1033.850287
93	1033.385286
94	1033.041769
95	1032.558008
96	1031.974714
97	1031.368495
98	1030.896141
99	1030.755043
100	1030.327755
101	1029.650309
102	1029.437945
103	1029.306558
104	1028.790378
105	1028.246021
106	1027.977132
107	1027.195056
108	1026.866208
109	1026.716661
110	1026.390357
111	1026.3365
112	1025.941352
113	1025.069302
114	1024.258609
115	1024.090198
116	1023.376311
117	1022.872293
118	1022.271167
119	1021.657509
120	1021.444167
121	1020.915155
122	1020.711023
123	1020.279961
124	1019.984796
125	1019.713549
126	1019.237369
127	1018.836317
128	1018.302533
129	1017.421661
130	1017.320678
131	1017.08397
132	1016.766061
133	1016.421385
134	1016.165766
135	1015.534061
136	1015.129562
137	1014.849266
138	1014.467738
139	1014.152162
140	1013.880036
141	1013.580677
142	1013.405773
143	1012.979759
144	1012.299656
145	1012.083138
146	1011.581454
147	1011.072849
148	1010.744885
149	1010.537952
150	1010.102183
151	1009.657317
152	1009.129575
153	1008.685171
154	1008.122487
155	1007.769467
156	1007.449613
157	1006.980027
158	1006.480136
159	1006.314774
160	1005.899914
161	1005.651232
162	1005.421748
163	1005.024381
164	1004.575757
165	1004.229173
166	1003.656043
167	1003.141416
168	1002.978177
169	1002.570276
170	1002.151772
171	1001.815947
172	1001.240947
173	1000.70148
174	1000.470382
175	1000.215837
176	999.8355865
177	999.4707795
178	999.0968816
179	998.6664241
180	998.2272108
181	997.7224153
182	997.3327791
183	996.9161388
184	996.5166594
185	995.8325667
186	995.5446352
187	995.2480473
188	994.9077146
189	994.6301949
190	994.3546275
191	993.9311375
192	993.6383807
193	993.2620655
194	992.9512551
195	992.6057044
196	992.1874311
197	991.9261856
198	991.5187932
199	991.0772388
200	990.6329574
201	990.1506594
202	989.8392189
203	989.5552142
204	989.2762239
205	988.7662155
206	988.4388949
207	988.0243887
208	987.7682798
209	987.4897985
210	987.2044626
211	986.811667
212	986.6014798
213	986.2637003
214	985.7119479
215	985.2545832
216	984.8270742
217	984.6087106
218	984.086196
219	983.6649023
220	983.2928989
221	983.0491766
222	982.242036
223	981.7649312
224	981.5339402
225	981.302701
226	980.9750108
227	980.499955
228	980.2398251
229	979.9426799
230	979.6956992
231	979.4103198
232	979.0828695
233	978.7749743
234	978.3340942
235	977.8141667
236	977.430072
237	977.2941819
238	976.6475169
239	976.4271937
240	975.7408675
241	975.3590546
242	974.9884789
243	974.3342114
244	973.8922017
245	973.4844043
246	973.2161639
247	972.7933153
248	972.5003393
249	971.9782551
250	971.5496841
251	970.9200442
252	970.5851848
253	970.3141382
254	970.0535341
255	969.7747772
256	969.3769832
257	969.15898
258	968.7949003
259	968.5915524
260	968.2869463
261	967.7670678
262	967.2519132
263	966.5228273
264	966.1216074
265	965.8909842
266	965.6842229
267	965.4592112
268	965.2169519
269	964.4737576
270	964.1115346
271	963.5273403
272	963.0934677
273	962.8443632
274	962.3585535
275	962.1303815
276	961.6813601
277	961.0945867
278	960.7972328
279	960.5013345
280	960.2183268
281	959.8523229
282	959.5659318
283	959.3066917
284	959.1018296
285	958.6871275
286	958.3329197
287	958.0054415
288	957.7032243
289	957.4449516
290	957.00479
291	956.7011871
292	956.3779363
293	955.76701
294	955.4320478
295	955.1625798
296	954.8048776
297	954.6084551
298	954.1894952
299	953.9648233
300	953.6993206
301	953.280551
302	952.938708
303	952.7154052
304	952.3169077
305	951.9829911
306	951.653555
307	951.3000735
308	951.1473539
309	950.9540136
310	950.4286161
311	950.2164611
312	949.8119267
313	949.3711752
314	949.073586
315	948.8599745
316	948.5435116
317	948.1674055
318	947.8200335
319	947.3119567
320	947.084512
321	946.8389524
322	946.5183966
323	946.0869298
324	945.9102084
325	945.553233
326	945.3813893
327	945.1509272
328	944.9164568
329	944.6147091
330	944.3019818
331	943.9171289
332	943.6462702
333	943.2944867
334	942.9796241
335	942.7353819
336	942.2710885
337	941.9124274
338	941.4740407
339	941.141305
340	940.6823371
341	940.4038262
342	940.1051652
343	939.8826157
344	939.5916819
345	939.2978495
346	939.0405977
347	938.6356293
348	938.3072037
349	937.9803895
350	937.6928313
351	937.225979
352	936.8112742
353	936.2920207
354	935.8413598
355	935.4579406
356	934.9956279
357	934.6661215
358	934.3775376
359	933.9649596
360	933.7044099
361	933.5557269
362	933.0044458
363	932.6099612
364	932.2469607
365	931.9199945
366	931.3016743
367	930.9511188
368	930.4783751
369	930.1828498
370	929.9517005
371	929.7250694
372	929.5640876
373	929.0866594
374	928.6386564
375	928.4245073
376	927.9277113
377	927.6934182
378	927.2643474
379	926.9242362
380	926.5985671
381	926.2522921
382	926.0260092
383	925.6310122
384	925.3477112
385	924.9190694
386	924.633508
387	924.2362973
388	923.960973
389	923.7322132
390	923.5722511
391	923.2689773
392	922.8704848
393	922.6778264
394	922.4005842
395	922.1239325
396	921.8903942
397	921.7319341
398	921.489254
399	921.2566763
400	921.0305157
401	920.8162126
402	920.5484103
403	920.341499
404	919.9000395
405	919.5967974
406	919.2808194
407	918.8579059
408	918.5699759
409	918.2297168
410	917.9507729
411	917.5477237
412	917.4071983
413	916.9391888
414	916.6797879
415	916.4813312
416	916.1373717
417	915.7612343
418	915.3717231
419	915.0713875
420	914.8235675
421	914.5135318
422	914.3024976
423	913.968751
424	913.7177739
425	913.38882
426	913.099569
427	912.9717154
428	912.7703661
429	912.5609542
430	912.2015819
431	911.7959
432	911.5563246
433	911.357392
434	911.0251462
435	910.7094592
436	910.3788433
437	910.0837337
438	909.8449598
439	909.4897252
440	909.2352676
441	908.9022731
442	908.6026861
443	908.2626969
444	907.8391069
445	907.5539714
446	907.1533276
447	906.974785
448	906.6932057
449	906.3583449
450	906.1676855
451	905.9072287
452	905.7624091
453	905.472169
454	905.2370215
455	904.9376918
456	904.6190874
457	904.3517613
458	903.987935
459	903.7868764
460	903.6102732
461	903.3464024
462	903.0387843
463	902.7721936
464	902.2413519
465	901.9022097
466	901.4427593
467	901.247594
468	900.8814665
469	900.4541941
470	900.2308747
471	899.7297448
472	899.4973051
473	899.2914901
474	898.9690888
475	898.6326083
476	898.3070285
477	898.0178638
478	897.6722263
479	897.4181616
480	897.2176233
481	896.8259383
482	896.4490827
483	896.2837104
484	896.0081483
485	895.8191911
486	895.5562974
487	895.190134
488	894.9368334
489	894.6372082
490	894.4819754
491	894.1757304
492	893.9777689
493	893.8025886
494	893.3987807
495	893.0793776
496	892.8416011
497	892.5496219
498	892.2817044
499	891.881556
500	891.6243319
501	891.1913154
502	890.947083
503	890.5143848
504	890.2062996
505	889.9148667
506	889.5562649
507	889.2832098
508	888.9145739
509	888.6836378
510	888.2665272
511	887.8933791
512	887.5726747
513	887.4254137
514	887.1778828
515	886.9257407
516	886.6580446
517	886.3375757
518	886.0264337
519	885.6372896
520	885.4363515
521	885.1997655
522	884.8357195
523	884.5148269
524	884.2941062
525	884.0297428
526	883.7674157
527	883.5493608
528	883.1911718
529	882.9275769
530	882.4590901
531	882.1235769
532	881.7845327
533	881.3292437
534	881.089146
535	880.9185569
536	880.7610845
537	880.4211734
538	880.1705527
539	879.784826
540	879.5304358
541	879.2954988
542	879.0332046
543	878.6995986
544	878.3226356
545	878.1299702
546	877.9299875
547	877.7123234
548	877.4573828
549	877.2888333
550	876.9330588
551	876.7530959
552	876.5009873
553	876.2658342
554	876.0017427
555	875.7562011
556	875.5574824
557	875.3461467
558	874.9016852
559	874.7084384
560	874.5265929
561	874.2280175
562	874.0124882
563	873.7945754
564	873.5059339
565	873.3066587
566	873.1133871
567	872.8802965
568	872.6155208
569	872.3555549
570	872.0844719
571	871.8321277
572	871.5036574
573	871.2754656
574	870.9060908
575	870.6983138
576	870.4556244
577	870.2753718
578	870.0813134
579	869.8652439
580	869.6323411
581	869.3092893
582	869.0919322
583	868.9595476
584	868.6752472
585	868.4558789
586	868.0706536
