iter	Passed	Remaining
0	2	2837
1	5	2724
2	8	2679
3	10	2708
4	13	2612
5	16	2716
6	20	2881
7	23	2871
8	25	2840
9	28	2801
10	31	2790
11	33	2783
12	36	2779
13	40	2831
14	42	2813
15	45	2790
16	47	2772
17	50	2758
18	53	2754
19	56	2749
20	58	2732
21	61	2745
22	64	2754
23	67	2741
24	69	2728
25	72	2719
26	75	2711
27	79	2749
28	81	2741
29	84	2729
30	87	2742
31	90	2726
32	92	2713
33	95	2703
34	97	2692
35	100	2679
36	102	2664
37	104	2653
38	107	2640
39	110	2663
40	113	2661
41	116	2649
42	118	2637
43	121	2631
44	122	2605
45	125	2599
46	127	2589
47	130	2581
48	132	2579
49	136	2585
50	139	2601
51	142	2593
52	144	2585
53	147	2577
54	149	2571
55	152	2565
56	154	2559
57	157	2561
58	160	2561
59	163	2555
60	165	2548
61	168	2542
62	170	2541
63	174	2547
64	177	2555
65	187	2648
66	189	2638
67	191	2628
68	194	2619
69	196	2609
70	198	2600
71	201	2590
72	203	2583
73	206	2583
74	209	2581
75	213	2595
76	215	2586
77	217	2576
78	220	2568
79	222	2559
80	224	2551
81	228	2559
82	231	2559
83	234	2562
84	237	2555
85	239	2546
86	241	2539
87	244	2531
88	246	2523
89	248	2517
90	251	2509
91	254	2513
92	257	2506
93	259	2498
94	261	2491
95	263	2484
96	266	2476
97	268	2470
98	270	2464
99	273	2457
100	275	2450
101	278	2456
102	281	2450
103	283	2443
104	285	2436
105	288	2429
106	290	2423
107	292	2418
108	295	2412
109	296	2401
110	299	2395
111	300	2384
112	305	2395
113	307	2391
114	309	2384
115	312	2378
116	314	2371
117	316	2366
118	318	2360
119	321	2358
120	323	2351
121	326	2352
122	330	2354
123	332	2350
124	335	2345
125	337	2339
126	339	2333
127	341	2327
128	343	2322
129	346	2320
130	350	2324
131	352	2319
132	355	2314
133	357	2308
134	359	2303
135	361	2298
136	364	2293
137	366	2288
138	368	2283
139	370	2278
140	374	2281
141	376	2277
142	379	2272
143	381	2268
144	383	2263
145	386	2258
146	388	2255
147	390	2250
148	393	2245
149	395	2240
150	398	2241
151	401	2237
152	403	2233
153	405	2229
154	408	2225
155	410	2220
156	413	2220
157	416	2218
158	419	2217
159	423	2223
160	426	2222
161	429	2220
162	432	2219
163	435	2218
164	437	2216
165	441	2217
166	444	2217
167	449	2224
168	452	2224
169	455	2223
170	458	2221
171	462	2224
172	465	2224
173	467	2220
174	470	2218
175	473	2215
176	475	2210
177	477	2205
178	479	2200
179	481	2195
180	484	2190
181	486	2185
182	488	2180
183	490	2176
184	493	2175
185	496	2171
186	498	2167
187	500	2162
188	502	2157
189	505	2153
190	507	2148
191	509	2144
192	511	2139
193	514	2135
194	517	2134
195	519	2132
196	522	2128
197	524	2123
198	526	2119
199	528	2114
200	530	2110
201	533	2107
202	535	2103
203	537	2098
204	540	2097
205	544	2097
206	546	2093
207	548	2089
208	551	2085
209	553	2081
210	555	2076
211	557	2072
212	560	2072
213	564	2072
214	566	2069
215	569	2065
216	571	2062
217	573	2057
218	575	2053
219	577	2049
220	580	2045
221	582	2040
222	584	2036
223	586	2033
224	589	2031
225	592	2028
226	594	2023
227	596	2020
228	598	2015
229	601	2012
230	603	2009
231	605	2005
232	607	2001
233	610	1997
234	614	1999
235	617	1997
236	619	1995
237	622	1991
238	624	1988
239	626	1984
240	628	1980
241	631	1978
242	633	1974
243	637	1974
244	640	1974
245	643	1971
246	645	1967
247	647	1963
248	649	1960
249	652	1956
250	654	1952
251	656	1949
252	659	1946
253	662	1944
254	664	1940
255	666	1937
256	668	1933
257	671	1930
258	673	1926
259	675	1922
260	677	1919
261	680	1915
262	682	1911
263	685	1911
264	688	1908
265	690	1904
266	692	1900
267	694	1897
268	696	1893
269	699	1891
270	702	1888
271	704	1884
272	706	1881
273	709	1880
274	712	1877
275	714	1873
276	716	1870
277	718	1867
278	721	1863
279	723	1860
280	725	1856
281	727	1853
282	730	1849
283	733	1849
284	735	1845
285	738	1842
286	740	1839
287	742	1835
288	744	1832
289	747	1829
290	749	1826
291	751	1822
292	753	1819
293	756	1817
294	760	1816
295	762	1813
296	764	1810
297	766	1806
298	769	1803
299	771	1800
300	773	1796
301	776	1793
302	778	1790
303	781	1790
304	784	1787
305	786	1783
306	788	1780
307	791	1777
308	793	1774
309	795	1771
310	797	1767
311	800	1764
312	802	1761
313	805	1759
314	807	1756
315	810	1753
316	812	1750
317	814	1747
318	816	1743
319	819	1740
320	821	1737
321	823	1734
322	825	1730
323	829	1729
324	831	1726
325	833	1723
326	835	1720
327	838	1717
328	840	1713
329	842	1711
330	845	1708
331	847	1705
332	849	1702
333	852	1700
334	856	1699
335	858	1696
336	860	1693
337	863	1690
338	865	1687
339	867	1684
340	869	1681
341	872	1679
342	876	1678
343	878	1676
344	881	1672
345	883	1669
346	885	1666
347	887	1663
348	890	1660
349	892	1657
350	894	1654
351	896	1650
352	899	1648
353	902	1646
354	904	1643
355	906	1640
356	908	1637
357	911	1634
358	913	1631
359	915	1628
360	918	1625
361	920	1622
362	922	1619
363	925	1617
364	928	1614
365	930	1611
366	932	1608
367	934	1605
368	936	1602
369	939	1599
370	942	1597
371	945	1595
372	951	1598
373	955	1598
374	958	1596
375	960	1594
376	963	1592
377	966	1590
378	969	1589
379	974	1589
380	978	1589
381	981	1587
382	984	1585
383	987	1583
384	990	1581
385	993	1579
386	997	1579
387	1000	1577
388	1003	1575
389	1006	1573
390	1009	1571
391	1012	1569
392	1015	1568
393	1018	1566
394	1021	1564
395	1023	1561
396	1026	1558
397	1028	1555
398	1030	1552
399	1032	1549
400	1035	1546
401	1037	1543
402	1039	1540
403	1041	1537
404	1046	1537
405	1050	1537
406	1054	1535
407	1056	1533
408	1058	1529
409	1060	1526
410	1063	1523
411	1065	1520
412	1069	1520
413	1071	1517
414	1074	1514
415	1076	1510
416	1078	1508
417	1080	1504
418	1084	1504
419	1087	1501
420	1089	1498
421	1092	1496
422	1096	1495
423	1098	1492
424	1100	1489
425	1103	1486
426	1105	1483
427	1107	1480
428	1109	1477
429	1112	1474
430	1115	1472
431	1117	1469
432	1120	1466
433	1122	1463
434	1124	1460
435	1126	1457
436	1129	1454
437	1131	1451
438	1133	1448
439	1135	1445
440	1138	1443
441	1141	1441
442	1144	1438
443	1146	1435
444	1148	1432
445	1150	1429
446	1153	1426
447	1155	1423
448	1157	1420
449	1159	1417
450	1161	1414
451	1165	1412
452	1167	1409
453	1169	1406
454	1172	1403
455	1174	1400
456	1176	1398
457	1179	1395
458	1181	1392
459	1183	1389
460	1185	1386
461	1188	1384
462	1192	1382
463	1195	1380
464	1197	1378
465	1199	1375
466	1202	1372
467	1204	1369
468	1206	1366
469	1209	1363
470	1212	1361
471	1214	1359
472	1217	1356
473	1219	1353
474	1221	1350
475	1223	1347
476	1226	1344
477	1228	1341
478	1231	1338
479	1233	1336
480	1236	1333
481	1238	1331
482	1240	1328
483	1243	1325
484	1245	1322
485	1247	1319
486	1250	1316
487	1252	1313
488	1254	1311
489	1256	1308
490	1260	1306
491	1262	1303
492	1264	1300
493	1266	1297
494	1269	1294
495	1271	1291
496	1273	1289
497	1276	1286
498	1278	1283
